"","x","y","areaId","pr"
"184",462947.14709902,410043.170487246,"559",0.2895
"185",463945.801007409,410042.799262238,"560",0.3125
"186",464944.454040683,410042.438162248,"561",0.305
"187",465943.106265815,410042.08723723,"562",0.39
"188",466941.757574095,410041.746445535,"563",0.28325
"189",467940.408082472,410041.415753937,"564",0.27175
"190",468939.057815866,410041.095237226,"565",0.21225
"191",469937.706782517,410040.784870525,"566",0.217
"192",470936.3550159,410040.484637224,"567",0.1455
"193",471935.00252429,410040.194562217,"568",0.22425
"194",472933.649365935,410039.914637221,"569",0.1875
"195",473932.295549319,410039.64480392,"570",0.2455
"196",474930.941040973,410039.385145514,"571",0.212
"197",475929.585957726,410039.135628914,"572",0.2625
"198",476928.230249379,410038.896270508,"573",0.1335
"199",477926.873974392,410038.667012212,"574",0.07575
"200",478925.517191152,410038.447912204,"575",0.0535
"201",479924.159874426,410038.23896221,"576",0.034
"202",480922.802091187,410038.040162202,"577",0.0275
"203",481921.443782832,410037.851487204,"578",0.0235
"204",482920.085049593,410037.672937198,"579",0.03175
"205",483918.725891238,410037.5045622,"580",0.03825
"206",484917.366366258,410037.346320495,"581",0.0695
"207",485916.00646627,410037.198203904,"582",0.0955
"208",486914.646199661,410037.060237196,"583",0.06925
"209",487913.285633052,410036.932420489,"584",0.06375
"210",488911.924741323,410036.814762197,"585",0.06275
"211",489910.563608084,410036.707212192,"586",0.05025
"212",490909.202208101,410036.609812192,"587",0.12725
"213",491907.840583117,410036.522553897,"588",0.23675
"214",492906.478783136,410036.445470486,"589",NA
"215",459950.775390599,409050.262612266,"615",NA
"216",460949.442198987,409049.861937257,"616",NA
"217",461948.108065639,409049.471370557,"617",0.25675
"218",462946.773007393,409049.090912248,"618",0.266
"219",463945.436990666,409048.720562259,"619",0.2885
"220",464944.100132433,409048.36037054,"620",0.2565
"221",465942.76238245,409048.010270539,"621",0.2905
"222",466941.423782456,409047.670253948,"622",0.25925
"223",467940.084382484,409047.340420536,"623",0.21375
"224",468938.744207495,409047.02066224,"624",0.20475
"225",469937.403265884,409046.711037233,"625",0.165
"226",470936.061565901,409046.411537232,"626",0.15575
"227",471934.719165919,409046.122137231,"627",0.17025
"228",472933.376099312,409045.84287052,"628",0.175
"229",473932.032332585,409045.573720528,"629",0.223
"230",474930.687932713,409045.314687219,"630",0.22225
"231",475929.342924358,409045.065762222,"631",0.173
"232",476927.997324375,409044.826962221,"632",0.07
"233",477926.651132764,409044.598287216,"633",0.04525
"234",478925.304399413,409044.379720514,"634",0.031
"235",479923.95719117,409044.171262211,"635",0.02825
"236",480922.609457818,409043.972945508,"636",0.02325
"237",481921.261241204,409043.784712209,"637",0.0275
"238",482919.912582849,409043.606587212,"638",0.026
"239",483918.563541238,409043.438612209,"639",0.03975
"240",484917.214091256,409043.280762208,"640",0.05625
"241",485915.864274647,409043.1330455,"641",0.07275
"242",486914.514091289,409042.995412207,"642",0.05875
"243",487913.16360805,409042.867862202,"643",0.06175
"244",488911.812808067,409042.750462201,"644",0.03075
"245",489910.461716342,409042.6432205,"645",0.03325
"246",490909.110408101,409042.546062201,"646",0.101
"247",491907.75888312,409042.459020496,"647",0.23025
"248",492906.407166507,409042.382087199,"648",NA
"249",458951.694140596,408056.590228865,"673",NA
"250",459950.371998971,408056.180387267,"674",NA
"251",460949.048865623,408055.780670567,"675",0.26875
"252",461947.724799005,408055.391037264,"676",0.27
"253",462946.399765657,408055.011520564,"677",0.229
"254",463945.073857411,408054.642062255,"678",0.21625
"255",464943.747024062,408054.282745555,"679",0.2365
"256",465942.419299073,408053.933487258,"680",0.22525
"257",466941.090782468,408053.594320546,"681",0.21275
"258",467939.761465851,408053.265237244,"682",0.2025
"259",468938.431332501,408052.946270543,"683",0.16475
"260",469937.100465885,408052.637387242,"684",0.1895
"261",470935.768832535,408052.338620541,"685",0.14375
"262",471934.436490924,408052.049945535,"686",0.1385
"263",472933.103474308,408051.771312234,"687",0.15875
"264",473931.769774325,408051.502812232,"688",0.15575
"265",474930.435424342,408051.244412231,"689",0.161
"266",475929.100465995,408050.996103825,"690",0.1155
"267",476927.764932748,408050.757887226,"691",0.0445
"268",477926.428799396,408050.529770523,"692",0.02775
"269",478925.092141153,408050.31171222,"693",0.02425
"270",479923.75494943,408050.103770521,"694",0.019
"271",480922.417291188,408049.905912219,"695",0.0185
"272",481921.079132833,408049.718137222,"696",0.0195
"273",482919.740566225,408049.540470513,"697",0.0245
"274",483918.401566241,408049.372920512,"698",0.03375
"275",484917.062199627,408049.215437214,"699",0.0345
"276",485915.722424647,408049.068045507,"700",0.0415
"277",486914.38229129,408048.930762215,"701",0.037
"278",487913.04187468,408048.803545507,"702",0.0275
"279",488911.701124697,408048.686395507,"703",0.02
"280",489910.360108085,408048.57941221,"704",0.02675
"281",490909.018858102,408048.48251221,"705",0.08575
"282",491907.67738312,408048.395670504,"706",0.1935
"283",492906.335708135,408048.318912208,"707",NA
"284",457952.59279058,407062.926078875,"731",NA
"285",458951.281682211,407062.507187291,"732",0.1995
"286",459949.969565607,407062.098370577,"733",0.1785
"287",460948.656465624,407061.699620575,"734",0.2965
"288",461947.342424012,407061.310945568,"735",0.35275
"289",462946.027457395,407060.932312265,"736",0.1945
"290",463944.71154068,407060.563778866,"737",0.1865
"291",464943.394757429,407060.205312263,"738",0.1795
"292",465942.077107446,407059.856912261,"739",0.1585
"293",466940.758632468,407059.518570554,"740",0.1475
"294",467939.439324113,407059.190295558,"741",0.1645
"295",468938.119240874,407058.872095547,"742",0.1145
"296",469936.798382519,407058.563970551,"743",0.1065
"297",470935.476824275,407058.265912245,"744",0.0965
"298",471934.154490924,407057.977945543,"745",0.088
"299",472932.831490941,407057.699995541,"746",0.0875
"300",473931.50784933,407057.432120536,"747",0.08
"301",474930.183540975,407057.174345539,"748",0.04975
"302",475928.858632731,407056.926637235,"749",0.03175
"303",476927.53309938,407056.689020533,"750",0.009
"304",477926.207007769,407056.461445528,"751",0.0085
"305",478924.88037441,407056.243912236,"752",0.0075
"306",479923.553266175,407056.036470523,"753",0.009
"307",480922.22560782,407055.839095526,"754",0.01
"308",481920.897507836,407055.651795525,"755",0.0135
"309",482919.568966225,407055.474570521,"756",0.0125
"310",483918.239999611,407055.307387223,"757",0.0145
"311",484916.910641261,407055.150278815,"758",0.02
"312",485915.580891273,407055.003212224,"759",0.0315
"313",486914.250824664,407054.866295516,"760",0.02675
"314",487912.920424681,407054.739395516,"761",0.02375
"315",488911.589699696,407054.622537221,"762",0.02375
"316",489910.258733087,407054.515820514,"763",0.0405
"317",490908.927508105,407054.419128807,"764",0.082
"318",491907.596049746,407054.332487218,"765",0.18725
"319",492906.264441508,407054.255945511,"766",NA
"320",456953.471382193,406069.270153892,"789",NA
"321",457952.171340567,406068.842212294,"790",NA
"322",458950.870265591,406068.424370587,"791",0.25325
"323",459949.568165608,406068.016570585,"792",0.15925
"324",460948.265073997,406067.618795577,"793",0.26725
"325",461946.961024013,406067.231045576,"794",0.26425
"326",462945.656040664,406066.853328875,"795",0.169
"327",463944.350157413,406066.485662272,"796",0.15125
"328",464943.043374064,406066.128095571,"797",0.157
"329",465941.735749086,406065.780553865,"798",0.13475
"330",466940.427282469,406065.443020563,"799",0.1325
"331",467939.117990858,406065.115545556,"800",0.12175
"332",468937.807907497,406064.798112265,"801",0.10225
"333",469936.497065897,406064.490753849,"802",0.0795
"334",470935.185490908,406064.193395553,"803",0.0655
"335",471933.873190925,406063.906095551,"804",0.06375
"336",472932.560190941,406063.62884555,"805",0.074
"337",473931.246540959,406063.361645549,"806",0.0435
"338",474929.932257719,406063.104495539,"807",0.01575
"339",475928.617349364,406062.857370543,"808",0.009
"340",476927.301849381,406062.620320542,"809",0.003
"341",477925.985782766,406062.393287242,"810",0.0035
"342",478924.66918279,406062.176303831,"811",0.00625
"343",479923.352049431,406061.969370538,"812",0.0075
"344",480922.034416192,406061.772470531,"813",0.008
"345",481920.716316209,406061.585620531,"814",0.0095
"346",482919.397766225,406061.408820529,"815",0.01125
"347",483918.07880787,406061.242045531,"816",0.012
"348",484916.759466259,406061.085320528,"817",0.0165
"349",485915.439724647,406060.938645526,"818",0.0185
"350",486914.119674664,406060.802045525,"819",0.01925
"351",487912.799274681,406060.675445524,"820",0.01725
"352",488911.478574698,406060.558895524,"821",0.02125
"353",489910.157633087,406060.452420522,"822",0.03075
"354",490908.836374731,406060.355945522,"823",0.05675
"355",491907.514941492,406060.269545519,"824",0.15325
"356",492906.193333137,406060.193170521,"825",NA
"357",456953.040957186,405075.185495606,"848",NA
"358",457951.750890582,405074.758628892,"849",0.2425
"359",458950.459815591,405074.341770595,"850",0.17975
"360",459949.16772398,405073.934945587,"851",0.17675
"361",460947.874615625,405073.538120592,"852",0.2105
"362",461946.580540648,405073.151328885,"853",0.2055
"363",462945.285549024,405072.774537288,"854",0.14075
"364",463943.989649053,405072.407803876,"855",0.115
"365",464942.692882436,405072.051070574,"856",0.14625
"366",465941.395232453,405071.704370572,"857",0.1165
"367",466940.09673247,405071.367670571,"858",0.1125
"368",467938.797407492,405071.040978865,"859",0.098
"369",468937.497307509,405070.724328863,"860",0.09325
"370",469936.196465887,405070.417687267,"861",0.07625
"371",470934.894857541,405070.12107886,"862",0.05
"372",471933.592549297,405069.834470555,"863",0.04375
"373",472932.289540942,405069.557895559,"864",0.03675
"374",473930.985899331,405069.291370553,"865",0.0125
"375",474929.68156598,405069.03485385,"866",0.003
"376",475928.376649364,405068.788320551,"867",0.002
"377",476927.071157753,405068.551845546,"868",0.0015
"378",477925.765074401,405068.325378844,"869",0.00225
"379",478924.458457787,405068.108895544,"870",0.00425
"380",479923.151316175,405067.90247054,"871",0.006
"381",480921.84365782,405067.706045543,"872",0.0065
"382",481920.53553284,405067.519653837,"873",0.00975
"383",482919.226966225,405067.343270538,"874",0.00975
"384",483917.918016242,405067.176920537,"875",0.0105
"385",484916.608674631,405067.020595534,"876",0.01125
"386",485915.298891278,405066.87427883,"877",0.01475
"387",486913.988824664,405066.737995533,"878",0.01125
"388",487912.678424681,405066.611695532,"879",0.01675
"389",488911.367708072,405066.495428825,"880",0.02425
"390",489910.056724715,405066.389195532,"881",0.03175
"391",490908.745483104,405066.29297053,"882",0.05325
"392",491907.43403312,405066.20677053,"883",0.118
"393",492906.122399766,405066.130603825,"884",NA
"394",456952.611615559,404081.101020607,"907",0.18425
"395",457951.33148221,404080.675203907,"908",0.226
"396",458950.050340599,404080.259378898,"909",0.2165
"397",459948.768215609,404079.853520602,"910",0.28725
"398",460947.485099005,404079.457653888,"911",0.3295
"399",461946.200974015,404079.071795592,"912",0.21325
"400",462944.915949037,404078.695953886,"913",0.14575
"401",463943.630024048,404078.330095589,"914",0.07275
"402",464942.343199071,404077.974253882,"915",0.06975
"403",465941.055532454,404077.62837058,"916",0.076
"404",466939.766999104,404077.29250388,"917",0.07625
"405",467938.477632487,404076.966620578,"918",0.07375
"406",468937.187490876,404076.650745571,"919",0.07725
"407",469935.896607525,404076.34487887,"920",0.069
"408",470934.604999281,404076.048970564,"921",0.04075
"409",471933.312607559,404075.763078867,"922",0.03425
"410",472932.019574319,404075.487178857,"923",0.01825
"411",473930.725899331,404075.221270561,"924",0.00225
"412",474929.431549348,404074.96537056,"925",0.00075
"413",475928.136574369,404074.719478853,"926",0.001
"414",476926.841024385,404074.483578853,"927",0.002
"415",477925.544907771,404074.257645554,"928",0.00375
"416",478924.248232791,404074.041703847,"929",0.005
"417",479922.951049432,404073.835770555,"930",0.0065
"418",480921.653382823,404073.639853846,"931",0.01
"419",481920.355224581,404073.453895544,"932",0.00975
"420",482919.056607854,404073.277945549,"933",0.0115
"421",483917.75762462,404073.112012133,"934",0.011
"422",484916.458207887,404072.956045548,"935",0.011
"423",485915.158424648,404072.810095542,"936",0.01075
"424",486913.858299667,404072.674153836,"937",0.00775
